Campaign,Ad group,Final URL,Notes
Search - Brand & Bands,MusicAngel brand,https://musicangel.ie/,Owned brand demand.
Search - Brand & Bands,Band names,https://musicangel.ie/compare-bands/,Owned band-name demand.
Search - Wedding Bands Ireland,Wedding bands Ireland,https://musicangel.ie/,Primary commercial intent.
Search - Wedding Bands Ireland,Wedding band prices,https://musicangel.ie/wedding-band-cost-ireland/,Pricing intent usually converts well.
Search - Wedding Bands Ireland,Band and DJ package,https://musicangel.ie/wedding-band-and-dj-package/,Package-specific demand.
Search - Wedding Bands Ireland,Showcases,https://musicangel.ie/wedding-band-showcases/,Mid-funnel but commercially useful.
Search - Wedding Bands Ireland,Ceremony and drinks music,https://musicangel.ie/drinks-reception-music/,Add-on intent; keep bids lower.
Search - Venue Wedding Bands,Ashford Castle,https://musicangel.ie/wedding-band-ashford-castle/,"Ashford Castle, Mayo."
Search - Venue Wedding Bands,Dromoland Castle,https://musicangel.ie/wedding-band-dromoland-castle/,"Dromoland Castle, Clare."
Search - Venue Wedding Bands,Adare Manor,https://musicangel.ie/wedding-band-adare-manor/,"Adare Manor, Limerick."
Search - Venue Wedding Bands,Powerscourt House,https://musicangel.ie/wedding-band-powerscourt-house/,"Powerscourt House, Wicklow."
Search - Venue Wedding Bands,Tankardstown House,https://musicangel.ie/wedding-band-tankardstown-house/,"Tankardstown House, Meath."
Search - Venue Wedding Bands,The K Club,https://musicangel.ie/wedding-band-the-k-club/,"The K Club, Kildare."
Search - Venue Wedding Bands,Castle Leslie,https://musicangel.ie/wedding-band-castle-leslie/,"Castle Leslie, Monaghan."
Search - Venue Wedding Bands,Lough Eske Castle,https://musicangel.ie/wedding-band-lough-eske-castle/,"Lough Eske Castle, Donegal."
Search - Venue Wedding Bands,Ballyfin Demesne,https://musicangel.ie/wedding-band-ballyfin-demesne/,"Ballyfin Demesne, Laois."
Search - Venue Wedding Bands,Ballybeg House,https://musicangel.ie/wedding-band-ballybeg-house/,"Ballybeg House, Wicklow."
Search - Venue Wedding Bands,Cabra Castle,https://musicangel.ie/wedding-band-cabra-castle/,"Cabra Castle, Cavan."
Search - Venue Wedding Bands,Mount Juliet Estate,https://musicangel.ie/wedding-band-mount-juliet-estate/,"Mount Juliet Estate, Kilkenny."
Search - Venue Wedding Bands,Carton House,https://musicangel.ie/wedding-band-carton-house/,"Carton House, Kildare."
Search - Venue Wedding Bands,Castlemartyr Resort,https://musicangel.ie/wedding-band-castlemartyr-resort/,"Castlemartyr Resort, Cork."
Search - Venue Wedding Bands,Fota Island Resort,https://musicangel.ie/wedding-band-fota-island-resort/,"Fota Island Resort, Cork."
Search - Venue Wedding Bands,Glenlo Abbey Hotel,https://musicangel.ie/wedding-band-glenlo-abbey-hotel/,"Glenlo Abbey Hotel, Galway."
Search - Venue Wedding Bands,Ballymaloe House,https://musicangel.ie/wedding-band-ballymaloe-house/,"Ballymaloe House, Cork."
Search - Venue Wedding Bands,Mount Falcon Estate,https://musicangel.ie/wedding-band-mount-falcon-estate/,"Mount Falcon Estate, Mayo."
Search - Venue Wedding Bands,Marlfield House,https://musicangel.ie/wedding-band-marlfield-house/,"Marlfield House, Wexford."
Search - Venue Wedding Bands,Faithlegg House Hotel,https://musicangel.ie/wedding-band-faithlegg-house/,"Faithlegg House Hotel, Waterford."
Search - Venue Wedding Bands,Cliff House Hotel,https://musicangel.ie/wedding-band-cliff-house-hotel/,"Cliff House Hotel, Waterford."
Search - Venue Wedding Bands,Lyrath Estate,https://musicangel.ie/wedding-band-lyrath-estate/,"Lyrath Estate, Kilkenny."
Search - Venue Wedding Bands,Bellinter House,https://musicangel.ie/wedding-band-bellinter-house/,"Bellinter House, Meath."
Search - Venue Wedding Bands,Park Hotel Kenmare,https://musicangel.ie/wedding-band-park-hotel-kenmare/,"Park Hotel Kenmare, Kerry."
Search - Venue Wedding Bands,Sheen Falls Lodge,https://musicangel.ie/wedding-band-sheen-falls-lodge/,"Sheen Falls Lodge, Kerry."
Search - Venue Wedding Bands,Trump International Doonbeg,https://musicangel.ie/wedding-band-trump-international-doonbeg/,"Trump International Doonbeg, Clare."
Search - Venue Wedding Bands,Brooklodge & Macreddin Village,https://musicangel.ie/wedding-band-brooklodge/,"Brooklodge & Macreddin Village, Wicklow."
Search - Venue Wedding Bands,Tinakilly Country House,https://musicangel.ie/wedding-band-tinakilly-country-house/,"Tinakilly Country House, Wicklow."
Search - Venue Wedding Bands,Druids Glen Hotel & Golf Resort,https://musicangel.ie/wedding-band-druids-glen/,"Druids Glen Hotel & Golf Resort, Wicklow."
Search - Venue Wedding Bands,Slane Castle,https://musicangel.ie/wedding-band-slane-castle/,"Slane Castle, Meath."
Search - Venue Wedding Bands,Cliff at Lyons,https://musicangel.ie/wedding-band-cliff-at-lyons/,"Cliff at Lyons, Kildare."
Search - Venue Wedding Bands,Markree Castle,https://musicangel.ie/wedding-band-markree-castle/,"Markree Castle, Sligo."
Search - Venue Wedding Bands,Killashee Hotel,https://musicangel.ie/wedding-band-killashee-hotel/,"Killashee Hotel, Kildare."
Search - Venue Wedding Bands,Kinnitty Castle,https://musicangel.ie/wedding-band-kinnitty-castle/,"Kinnitty Castle, Offaly."
Search - Venue Wedding Bands,Knockranny House Hotel,https://musicangel.ie/wedding-band-knockranny-house/,"Knockranny House Hotel, Mayo."
Search - Venue Wedding Bands,Harvey's Point,https://musicangel.ie/wedding-band-harveys-point/,"Harvey's Point, Donegal."
Search - Venue Wedding Bands,Kilshane House,https://musicangel.ie/wedding-band-kilshane-house/,"Kilshane House, Tipperary."
Search - Venue Wedding Bands,Clonabreany House,https://musicangel.ie/wedding-band-clonabreany-house/,"Clonabreany House, Meath."
Search - Venue Wedding Bands,Ballymagarvey Village,https://musicangel.ie/wedding-band-ballymagarvey-village/,"Ballymagarvey Village, Meath."
Search - Venue Wedding Bands,Bunratty Castle Hotel,https://musicangel.ie/wedding-band-bunratty-castle-hotel/,"Bunratty Castle Hotel, Clare."
Search - Venue Wedding Bands,Galgorm Resort,https://musicangel.ie/wedding-band-galgorm-resort/,"Galgorm Resort, Antrim."
Search - Venue Wedding Bands,Hayfield Manor,https://musicangel.ie/wedding-band-hayfield-manor/,"Hayfield Manor, Cork."
Search - Venue Wedding Bands,Cashel Palace Hotel,https://musicangel.ie/wedding-band-cashel-palace/,"Cashel Palace Hotel, Tipperary."
Search - Venue Wedding Bands,Mount Wolseley Hotel,https://musicangel.ie/wedding-band-mount-wolseley/,"Mount Wolseley Hotel, Carlow."
Search - Venue Wedding Bands,Barberstown Castle,https://musicangel.ie/wedding-band-barberstown-castle/,"Barberstown Castle, Kildare."
Search - Venue Wedding Bands,Roganstown Hotel & Country Club,https://musicangel.ie/wedding-band-roganstown-hotel/,"Roganstown Hotel & Country Club, Dublin."
Search - Venue Wedding Bands,Newpark Hotel,https://musicangel.ie/wedding-band-newpark-hotel/,"Newpark Hotel, Kilkenny."
Search - Venue Wedding Bands,Killyhevlin Lakeside Hotel,https://musicangel.ie/wedding-band-killyhevlin-lakeside/,"Killyhevlin Lakeside Hotel, Fermanagh."
Search - Venue Wedding Bands,The Cliff Townhouse,https://musicangel.ie/wedding-band-cliff-townhouse/,"The Cliff Townhouse, Dublin."
Search - Venue Wedding Bands,The Westbury Hotel,https://musicangel.ie/wedding-band-the-westbury-hotel/,"The Westbury Hotel, Dublin."
Search - County Wedding Bands,Dublin,https://musicangel.ie/wedding-bands-dublin/,Dublin county page.
Search - County Wedding Bands,Cork,https://musicangel.ie/wedding-bands-cork/,Cork county page.
Search - County Wedding Bands,Galway,https://musicangel.ie/wedding-bands-galway/,Galway county page.
Search - County Wedding Bands,Kerry,https://musicangel.ie/wedding-bands-kerry/,Kerry county page.
Search - County Wedding Bands,Limerick,https://musicangel.ie/wedding-bands-limerick/,Limerick county page.
Search - County Wedding Bands,Mayo,https://musicangel.ie/wedding-bands-mayo/,Mayo county page.
Search - County Wedding Bands,Donegal,https://musicangel.ie/wedding-bands-donegal/,Donegal county page.
Search - County Wedding Bands,Wicklow,https://musicangel.ie/wedding-bands-wicklow/,Wicklow county page.
Search - County Wedding Bands,Clare,https://musicangel.ie/wedding-bands-clare/,Clare county page.
Search - County Wedding Bands,Tipperary,https://musicangel.ie/wedding-bands-tipperary/,Tipperary county page.
Search - County Wedding Bands,Waterford,https://musicangel.ie/wedding-bands-waterford/,Waterford county page.
Search - County Wedding Bands,Wexford,https://musicangel.ie/wedding-bands-wexford/,Wexford county page.
Search - County Wedding Bands,Kilkenny,https://musicangel.ie/wedding-bands-kilkenny/,Kilkenny county page.
Search - County Wedding Bands,Carlow,https://musicangel.ie/wedding-bands-carlow/,Carlow county page.
Search - County Wedding Bands,Kildare,https://musicangel.ie/wedding-bands-kildare/,Kildare county page.
Search - County Wedding Bands,Meath,https://musicangel.ie/wedding-bands-meath/,Meath county page.
Search - County Wedding Bands,Louth,https://musicangel.ie/wedding-bands-louth/,Louth county page.
Search - County Wedding Bands,Cavan,https://musicangel.ie/wedding-bands-cavan/,Cavan county page.
Search - County Wedding Bands,Monaghan,https://musicangel.ie/wedding-bands-monaghan/,Monaghan county page.
Search - County Wedding Bands,Leitrim,https://musicangel.ie/wedding-bands-leitrim/,Leitrim county page.
Search - County Wedding Bands,Sligo,https://musicangel.ie/wedding-bands-sligo/,Sligo county page.
Search - County Wedding Bands,Roscommon,https://musicangel.ie/wedding-bands-roscommon/,Roscommon county page.
Search - County Wedding Bands,Longford,https://musicangel.ie/wedding-bands-longford/,Longford county page.
Search - County Wedding Bands,Westmeath,https://musicangel.ie/wedding-bands-westmeath/,Westmeath county page.
Search - County Wedding Bands,Offaly,https://musicangel.ie/wedding-bands-offaly/,Offaly county page.
Search - County Wedding Bands,Laois,https://musicangel.ie/wedding-bands-laois/,Laois county page.
Search - County Wedding Bands,Antrim,https://musicangel.ie/wedding-bands-antrim/,Antrim county page.
Search - County Wedding Bands,Down,https://musicangel.ie/wedding-bands-down/,Down county page.
Search - County Wedding Bands,Armagh,https://musicangel.ie/wedding-bands-armagh/,Armagh county page.
Search - County Wedding Bands,Tyrone,https://musicangel.ie/wedding-bands-tyrone/,Tyrone county page.
Search - County Wedding Bands,Fermanagh,https://musicangel.ie/wedding-bands-fermanagh/,Fermanagh county page.
Search - County Wedding Bands,Derry,https://musicangel.ie/wedding-bands-derry/,Derry county page.
Search - Wedding Music Guides,First dance songs,https://musicangel.ie/first-dance-songs/,Lower-intent content assist.
Search - Wedding Music Guides,Wedding music timeline,https://musicangel.ie/wedding-music-timeline/,Planning query.
Search - Wedding Music Guides,Questions to ask a band,https://musicangel.ie/questions-to-ask-wedding-band/,Research query.
Search - Wedding Music Guides,When to book band,https://musicangel.ie/when-to-book-wedding-band/,Early commercial/planning query.
